received_at	device_id	f_port	f_cnt	rssi	data_rate_index	consumed_airtime	frm_payload	converted_payload	ID	Temperature	Oxygen_Saturation	Oxygen_mgL	Oxygen_PPM	UnixTime
2025-03-25T00:19:44.421809912Z	lemmingponsel	2	480	-111		0.184832s	OC41NTM4LDE2MS43OSwxOS4wNDIsMTkuMDQyLDE3NDI4NjU1MDg=	382e353533382c3136312e37392c31392e3034322c31392e3034322c31373432383635353038	X31	8.5538	161.79	19.042	19.042	1742865508
2025-03-25T00:39:50.386098640Z	lemmingponsel	2	481	-110		0.184832s	OC41NDcxLDE2MS4zNiwxOC45OTQsMTguOTk0LDE3NDI4NjY3MTQ=	382e353437312c3136312e33362c31382e3939342c31382e3939342c31373432383636373134	X31	8.5471	161.36	18.994	18.994	1742866714
2025-03-25T00:59:53.766111737Z	lemmingponsel	2	482	-111		0.184832s	OC41NDc2LDE2MC41MiwxOC44OTYsMTguODk2LDE3NDI4Njc5MTc=	382e353437362c3136302e35322c31382e3839362c31382e3839362c31373432383637393137	X31	8.5476	160.52	18.896	18.896	1742867917
2025-03-25T01:19:59.527068407Z	lemmingponsel	2	483	-109		0.184832s	OC41NDY2LDE1OS42MywxOC43OTEsMTguNzkxLDE3NDI4NjkxMjM=	382e353436362c3135392e36332c31382e3739312c31382e3739312c31373432383639313233	X31	8.5466	159.63	18.791	18.791	1742869123
2025-03-25T01:40:05.402962094Z	lemmingponsel	2	484	-111		0.184832s	OC41NDc2LDE1OS4wNiwxOC43MjMsMTguNzIzLDE3NDI4NzAzMjk=	382e353437362c3135392e30362c31382e3732332c31382e3732332c31373432383730333239	X31	8.5476	159.06	18.723	18.723	1742870329
2025-03-25T02:00:08.840426140Z	lemmingponsel	2	485	-112		0.184832s	OC41NDYyLDE1OC4zNiwxOC42NDIsMTguNjQyLDE3NDI4NzE1MzI=	382e353436322c3135382e33362c31382e3634322c31382e3634322c31373432383731353332	X31	8.5462	158.36	18.642	18.642	1742871532
2025-03-25T02:20:14.574892056Z	lemmingponsel	2	486	-112		0.184832s	OC41NDEwLDE1Ny42NywxOC41NjIsMTguNTYyLDE3NDI4NzI3Mzg=	382e353431302c3135372e36372c31382e3536322c31382e3536322c31373432383732373338	X31	8.541	157.67	18.562	18.562	1742872738
2025-03-25T02:40:20.494196854Z	lemmingponsel	2	487	-111		0.184832s	OC41NDEwLDE1Ni44MSwxOC40NjIsMTguNDYyLDE3NDI4NzM5NDQ=	382e353431302c3135362e38312c31382e3436322c31382e3436322c31373432383733393434	X31	8.541	156.81	18.462	18.462	1742873944
2025-03-25T03:00:23.892109444Z	lemmingponsel	2	488	-113		0.184832s	OC41MzgxLDE1Ni41MCwxOC40MjcsMTguNDI3LDE3NDI4NzUxNDg=	382e353338312c3135362e35302c31382e3432372c31382e3432372c31373432383735313438	X31	8.5381	156.5	18.427	18.427	1742875148
2025-03-25T03:20:29.631575837Z	lemmingponsel	2	489	-112		0.184832s	OC41NDE2LDE1NS4zMiwxOC4yODYsMTguMjg2LDE3NDI4NzYzNTM=	382e353431362c3135352e33322c31382e3238362c31382e3238362c31373432383736333533	X31	8.5416	155.32	18.286	18.286	1742876353
