received_at	device_id	f_port	f_cnt	decoded_payload	rssi	data_rate_index	consumed_airtime
2025-03-14T05:54:52.271316410Z	eui-70b3d57ed00597a6	109	1	{'CH4': 523, 'co2': 267, 'rh': 67.3, 'temp': 7.5, 'unix': 1741934527}	-78		0.066816s
2025-03-14T11:54:48.357434868Z	eui-70b3d57ed00597a6	109	2	{'CH4': 622, 'co2': 362, 'rh': 62.9, 'temp': 18.6, 'unix': 1741956123}	-79		0.061696s
2025-03-14T17:54:44.342560688Z	eui-70b3d57ed00597a6	109	3	{'CH4': 536, 'co2': 240, 'rh': 66.5, 'temp': 10.1, 'unix': 1741977718}	-79		0.061696s
2025-03-14T23:54:53.797951808Z	eui-70b3d57ed00597a6	109		{'CH4': 418, 'co2': 350, 'rh': 88.2, 'temp': 2.2, 'unix': 1741998597}	-84		0.205824s
2025-03-15T05:54:49.938247587Z	eui-70b3d57ed00597a6	109	1	{'CH4': 512, 'co2': 307, 'rh': 69.8, 'temp': 6.2, 'unix': 1742020192}	-80		0.071936s
2025-03-15T11:54:45.969884112Z	eui-70b3d57ed00597a6	109	2	{'CH4': 574, 'co2': 364, 'rh': 57.1, 'temp': 16.5, 'unix': 1742041788}	-76		0.061696s
2025-03-15T17:54:41.814177122Z	eui-70b3d57ed00597a6	109	3	{'CH4': 556, 'co2': 231, 'rh': 63.5, 'temp': 12, 'unix': 1742063384}	-74		0.061696s
2025-03-15T23:54:57.296414330Z	eui-70b3d57ed00597a6	109		{'CH4': 432, 'co2': 328, 'rh': 83.1, 'temp': 5.3, 'unix': 1742084275}	-73		0.205824s
2025-03-16T05:54:53.219170420Z	eui-70b3d57ed00597a6	109	1	{'CH4': 568, 'co2': 256, 'rh': 64.6, 'temp': 11.7, 'unix': 1742105869}	-78		0.123392s
2025-03-16T23:54:40.241819072Z	eui-70b3d57ed00597a6	109		{'CH4': 427, 'co2': 355, 'rh': 85.8, 'temp': 3.1, 'unix': 1741852330}	-77		0.205824s
2025-03-17T05:54:36.255420541Z	eui-70b3d57ed00597a6	109	1	{'CH4': 509, 'co2': 280, 'rh': 70.1, 'temp': 6.6, 'unix': 1741873922}	-80		0.071936s
2025-03-17T10:40:13.279767664Z	eui-70b3d57ed00597a6	109		{'CH4': 425, 'co2': 449, 'rh': 41, 'temp': 15.9, 'unix': 1741852308}	-75		0.205824s
2025-03-17T22:40:04.509332502Z	eui-70b3d57ed00597a6	109	2	{'CH4': 488, 'co2': 472, 'rh': 62.6, 'temp': 9, 'unix': 1741895498}	-73		0.061696s
2025-03-17T23:54:35.748340505Z	eui-70b3d57ed00597a6	109		{'CH4': 430, 'co2': 325, 'rh': 85.1, 'temp': 4.5, 'unix': 1741899242}	-79		0.205824s
2025-03-18T05:54:31.526976740Z	eui-70b3d57ed00597a6	109	1	{'CH4': 540, 'co2': 256, 'rh': 66.4, 'temp': 10.5, 'unix': 1741920832}	-69		0.066816s
2025-03-18T07:25:26.458476186Z	eui-70b3d57ed00597a6	109		{'CH4': 498, 'co2': 402, 'rh': 67.1, 'temp': 11.2, 'unix': 1741852309}	-73		0.205824s
2025-03-18T13:25:22.216270191Z	eui-70b3d57ed00597a6	109	1	{'CH4': 545, 'co2': 269, 'rh': 63.8, 'temp': 13.8, 'unix': 1741873902}	-68		0.071936s
2025-03-18T19:25:18.103875492Z	eui-70b3d57ed00597a6	109	2	{'CH4': 529, 'co2': 399, 'rh': 66.1, 'temp': 11.1, 'unix': 1741895500}	-72		0.061696s
2025-03-18T23:54:33.161544238Z	eui-70b3d57ed00597a6	109		{'CH4': 433, 'co2': 334, 'rh': 82.5, 'temp': 6.1, 'unix': 1741910926}	-73		0.205824s
2025-03-19T05:54:29.077626648Z	eui-70b3d57ed00597a6	109	1	{'CH4': 525, 'co2': 257, 'rh': 66.1, 'temp': 11.1, 'unix': 1741932518}	-70		0.066816s
2025-03-19T09:53:12.460330876Z	eui-70b3d57ed00597a6	109		{'CH4': 542, 'co2': 254, 'rh': 61.2, 'temp': 19.3, 'unix': 1741852308}	-73		0.205824s
2025-03-19T09:54:23.901549804Z	eui-70b3d57ed00597a6	109		{'CH4': 574, 'co2': 246, 'rh': 61, 'temp': 19.2, 'unix': 1741852380}	-71		0.205824s
2025-03-19T09:55:20.115528318Z	eui-70b3d57ed00597a6	109		{'CH4': 594, 'co2': 233, 'rh': 61.5, 'temp': 19.1, 'unix': 1742381651}	-67		0.205824s
2025-03-19T10:55:19.471599490Z	eui-70b3d57ed00597a6	109	1	{'CH4': 617, 'co2': 428, 'rh': 58.2, 'temp': 20.4, 'unix': 1742385248}	-71		0.123392s
2025-03-19T11:55:18.740570807Z	eui-70b3d57ed00597a6	109	2	{'CH4': 644, 'co2': 353, 'rh': 53.6, 'temp': 22.7, 'unix': 1742388848}	-69		0.066816s
2025-03-19T12:55:18.049789239Z	eui-70b3d57ed00597a6	109	3	{'CH4': 642, 'co2': 283, 'rh': 50.8, 'temp': 23.3, 'unix': 1742392446}	-66		0.061696s
2025-03-19T13:55:17.332136380Z	eui-70b3d57ed00597a6	109	4	{'CH4': 630, 'co2': 232, 'rh': 50.2, 'temp': 22.1, 'unix': 1742396049}	-68		0.061696s
2025-03-19T14:55:16.658226839Z	eui-70b3d57ed00597a6	109	5	{'CH4': 588, 'co2': 433, 'rh': 52.5, 'temp': 19.4, 'unix': 1742399644}	-68		0.066816s
2025-03-19T15:55:16.037657592Z	eui-70b3d57ed00597a6	109	6	{'CH4': 587, 'co2': 347, 'rh': 56, 'temp': 17.9, 'unix': 1742403248}	-67		0.061696s
2025-03-19T16:55:15.365355410Z	eui-70b3d57ed00597a6	109	7	{'CH4': 549, 'co2': 272, 'rh': 61.8, 'temp': 13.8, 'unix': 1742406844}	-67		0.061696s
2025-03-19T17:55:14.701929649Z	eui-70b3d57ed00597a6	109	8	{'CH4': 558, 'co2': 218, 'rh': 66.3, 'temp': 11.7, 'unix': 1742410444}	-70		0.061696s
2025-03-19T18:55:14.017752551Z	eui-70b3d57ed00597a6	109	9	{'CH4': 536, 'co2': 472, 'rh': 68.3, 'temp': 10.4, 'unix': 1742414044}	-68		0.061696s
2025-03-19T19:55:13.343654216Z	eui-70b3d57ed00597a6	109	10	{'CH4': 519, 'co2': 369, 'rh': 69, 'temp': 9.9, 'unix': 1742417643}	-67		0.061696s
2025-03-19T20:55:12.676782202Z	eui-70b3d57ed00597a6	109	11	{'CH4': 544, 'co2': 303, 'rh': 69.8, 'temp': 9.4, 'unix': 1742421243}	-67		0.061696s
