received_at	device_id	f_port	f_cnt	decoded_payload	rssi	data_rate_index	consumed_airtime
2025-03-14T00:44:21.704419896Z	eui-70b3d57ed005a0a6	120		{'CH4': 552, 'co2': 339, 'rh': 91.6, 'temp': 5.8, 'unix': 1741916653}	-74		0.205824s
2025-03-14T02:44:20.223091578Z	eui-70b3d57ed005a0a6	120	1	{'CH4': 558, 'co2': 336, 'rh': 81.8, 'temp': 8.3, 'unix': 1741923847}	-72		0.066816s
2025-03-14T04:44:18.883623649Z	eui-70b3d57ed005a0a6	120	2	{'CH4': 545, 'co2': 277, 'rh': 81.8, 'temp': 7.5, 'unix': 1741931046}	-72		0.061696s
2025-03-14T06:44:17.576892133Z	eui-70b3d57ed005a0a6	120	3	{'CH4': 553, 'co2': 245, 'rh': 82.9, 'temp': 7.7, 'unix': 1741938247}	-72		0.061696s
2025-03-14T08:44:16.249150993Z	eui-70b3d57ed005a0a6	120	4	{'CH4': 615, 'co2': 216, 'rh': 82.3, 'temp': 12.7, 'unix': 1741945444}	-74		0.061696s
2025-03-14T10:44:15.176977271Z	eui-70b3d57ed005a0a6	120	5	{'CH4': 556, 'co2': 503, 'rh': 72.7, 'temp': 13.4, 'unix': 1741952642}	-72		0.061696s
2025-03-14T12:44:13.459357177Z	eui-70b3d57ed005a0a6	120	6	{'CH4': 626, 'co2': 404, 'rh': 83.6, 'temp': 15.2, 'unix': 1741959841}	-71		0.061696s
2025-03-14T14:44:12.064223377Z	eui-70b3d57ed005a0a6	120	7	{'CH4': 552, 'co2': 521, 'rh': 73.5, 'temp': 11.9, 'unix': 1741967039}	-69		0.061696s
2025-03-14T16:44:10.682767102Z	eui-70b3d57ed005a0a6	120	8	{'CH4': 570, 'co2': 386, 'rh': 80.6, 'temp': 10.9, 'unix': 1741974238}	-72		0.066816s
2025-03-14T18:44:09.328052422Z	eui-70b3d57ed005a0a6	120	9	{'CH4': 526, 'co2': 538, 'rh': 79.5, 'temp': 7.9, 'unix': 1741981436}	-72		0.061696s
2025-03-14T20:44:08.017092422Z	eui-70b3d57ed005a0a6	120	10	{'CH4': 541, 'co2': 408, 'rh': 82.1, 'temp': 7.9, 'unix': 1741988636}	-73		0.061696s
2025-03-14T22:44:06.706366113Z	eui-70b3d57ed005a0a6	120	11	{'CH4': 538, 'co2': 319, 'rh': 82, 'temp': 7.1, 'unix': 1741995834}	-71		0.061696s
2025-03-15T00:44:50.980807796Z	eui-70b3d57ed005a0a6	120		{'CH4': 517, 'co2': 221, 'rh': 93.3, 'temp': 4, 'unix': 1742003082}	-76		0.205824s
2025-03-15T02:44:49.556802043Z	eui-70b3d57ed005a0a6	120	1	{'CH4': 537, 'co2': 225, 'rh': 83.2, 'temp': 6.3, 'unix': 1742010277}	-72		0.066816s
2025-03-15T04:44:48.257751943Z	eui-70b3d57ed005a0a6	120	2	{'CH4': 524, 'co2': 189, 'rh': 82.7, 'temp': 5.6, 'unix': 1742017474}	-71		0.061696s
2025-03-15T06:44:46.988183519Z	eui-70b3d57ed005a0a6	120	3	{'CH4': 535, 'co2': 166, 'rh': 83.4, 'temp': 5.8, 'unix': 1742024675}	-74		0.061696s
2025-03-15T08:44:45.684384862Z	eui-70b3d57ed005a0a6	120	4	{'CH4': 638, 'co2': 159, 'rh': 83.4, 'temp': 15, 'unix': 1742031872}	-70		0.061696s
2025-03-15T10:44:44.328761068Z	eui-70b3d57ed005a0a6	120	5	{'CH4': 582, 'co2': 508, 'rh': 78.7, 'temp': 15.5, 'unix': 1742039073}	-70		0.061696s
2025-03-15T12:44:42.949671843Z	eui-70b3d57ed005a0a6	120	6	{'CH4': 620, 'co2': 397, 'rh': 81.1, 'temp': 15.3, 'unix': 1742046270}	-70		0.061696s
2025-03-15T14:44:41.583344448Z	eui-70b3d57ed005a0a6	120	7	{'CH4': 563, 'co2': 520, 'rh': 75.4, 'temp': 13.3, 'unix': 1742053471}	-71		0.061696s
2025-03-15T16:44:40.226237966Z	eui-70b3d57ed005a0a6	120	8	{'CH4': 587, 'co2': 389, 'rh': 80.8, 'temp': 11.8, 'unix': 1742060667}	-70		0.061696s
2025-03-15T18:44:38.876168744Z	eui-70b3d57ed005a0a6	120	9	{'CH4': 539, 'co2': 528, 'rh': 80.6, 'temp': 9.1, 'unix': 1742067867}	-69		0.066816s
2025-03-15T20:44:37.570400271Z	eui-70b3d57ed005a0a6	120	10	{'CH4': 560, 'co2': 402, 'rh': 81.8, 'temp': 9.2, 'unix': 1742075068}	-74		0.061696s
2025-03-15T22:44:36.288842755Z	eui-70b3d57ed005a0a6	120	11	{'CH4': 557, 'co2': 522, 'rh': 81.7, 'temp': 8.4, 'unix': 1742082264}	-72		0.061696s
2025-03-16T00:44:21.129952401Z	eui-70b3d57ed005a0a6	120		{'CH4': 554, 'co2': 349, 'rh': 91.7, 'temp': 6.5, 'unix': 1742089452}	-73		0.205824s
2025-03-16T02:44:19.647886344Z	eui-70b3d57ed005a0a6	120	1	{'CH4': 562, 'co2': 515, 'rh': 80.3, 'temp': 9.1, 'unix': 1742096647}	-71		0.066816s
2025-03-16T04:44:18.289562099Z	eui-70b3d57ed005a0a6	120	2	{'CH4': 558, 'co2': 395, 'rh': 81.6, 'temp': 10.2, 'unix': 1742103848}	-70		0.061696s
2025-03-16T06:44:16.943495684Z	eui-70b3d57ed005a0a6	120	3	{'CH4': 569, 'co2': 516, 'rh': 80.4, 'temp': 9.9, 'unix': 1742111044}	-71		0.061696s
2025-03-16T08:44:15.715954047Z	eui-70b3d57ed005a0a6	120	4	{'CH4': 640, 'co2': 387, 'rh': 83.2, 'temp': 15.8, 'unix': 1742118246}	-71		0.061696s
2025-03-16T12:44:12.990570397Z	eui-70b3d57ed005a0a6	120	6	{'CH4': 672, 'co2': 386, 'rh': 80.3, 'temp': 19.5, 'unix': 1742132644}	-73		0.061696s
2025-03-14T00:44:21.704419896Z	eui-70b3d57ed005a0a6	120		{'CH4': 552, 'co2': 339, 'rh': 91.6, 'temp': 5.8, 'unix': 1741916653}	-74		0.205824s
2025-03-14T02:44:20.223091578Z	eui-70b3d57ed005a0a6	120	1	{'CH4': 558, 'co2': 336, 'rh': 81.8, 'temp': 8.3, 'unix': 1741923847}	-72		0.066816s
2025-03-14T04:44:18.883623649Z	eui-70b3d57ed005a0a6	120	2	{'CH4': 545, 'co2': 277, 'rh': 81.8, 'temp': 7.5, 'unix': 1741931046}	-72		0.061696s
2025-03-14T06:44:17.576892133Z	eui-70b3d57ed005a0a6	120	3	{'CH4': 553, 'co2': 245, 'rh': 82.9, 'temp': 7.7, 'unix': 1741938247}	-72		0.061696s
2025-03-14T08:44:16.249150993Z	eui-70b3d57ed005a0a6	120	4	{'CH4': 615, 'co2': 216, 'rh': 82.3, 'temp': 12.7, 'unix': 1741945444}	-74		0.061696s
2025-03-14T10:44:15.176977271Z	eui-70b3d57ed005a0a6	120	5	{'CH4': 556, 'co2': 503, 'rh': 72.7, 'temp': 13.4, 'unix': 1741952642}	-72		0.061696s
2025-03-14T12:44:13.459357177Z	eui-70b3d57ed005a0a6	120	6	{'CH4': 626, 'co2': 404, 'rh': 83.6, 'temp': 15.2, 'unix': 1741959841}	-71		0.061696s
2025-03-14T14:44:12.064223377Z	eui-70b3d57ed005a0a6	120	7	{'CH4': 552, 'co2': 521, 'rh': 73.5, 'temp': 11.9, 'unix': 1741967039}	-69		0.061696s
2025-03-14T16:44:10.682767102Z	eui-70b3d57ed005a0a6	120	8	{'CH4': 570, 'co2': 386, 'rh': 80.6, 'temp': 10.9, 'unix': 1741974238}	-72		0.066816s
2025-03-14T18:44:09.328052422Z	eui-70b3d57ed005a0a6	120	9	{'CH4': 526, 'co2': 538, 'rh': 79.5, 'temp': 7.9, 'unix': 1741981436}	-72		0.061696s
2025-03-14T20:44:08.017092422Z	eui-70b3d57ed005a0a6	120	10	{'CH4': 541, 'co2': 408, 'rh': 82.1, 'temp': 7.9, 'unix': 1741988636}	-73		0.061696s
2025-03-14T22:44:06.706366113Z	eui-70b3d57ed005a0a6	120	11	{'CH4': 538, 'co2': 319, 'rh': 82, 'temp': 7.1, 'unix': 1741995834}	-71		0.061696s
2025-03-15T00:44:50.980807796Z	eui-70b3d57ed005a0a6	120		{'CH4': 517, 'co2': 221, 'rh': 93.3, 'temp': 4, 'unix': 1742003082}	-76		0.205824s
2025-03-15T02:44:49.556802043Z	eui-70b3d57ed005a0a6	120	1	{'CH4': 537, 'co2': 225, 'rh': 83.2, 'temp': 6.3, 'unix': 1742010277}	-72		0.066816s
2025-03-15T04:44:48.257751943Z	eui-70b3d57ed005a0a6	120	2	{'CH4': 524, 'co2': 189, 'rh': 82.7, 'temp': 5.6, 'unix': 1742017474}	-71		0.061696s
2025-03-15T06:44:46.988183519Z	eui-70b3d57ed005a0a6	120	3	{'CH4': 535, 'co2': 166, 'rh': 83.4, 'temp': 5.8, 'unix': 1742024675}	-74		0.061696s
2025-03-15T08:44:45.684384862Z	eui-70b3d57ed005a0a6	120	4	{'CH4': 638, 'co2': 159, 'rh': 83.4, 'temp': 15, 'unix': 1742031872}	-70		0.061696s
