received_at	device_id	f_port	f_cnt	rssi	data_rate_index	consumed_airtime	frm_payload	converted_payload	Data
2025-06-30T00:00:01.821176569Z	wwt-ormstrup-buoy	1	91838	-118		0.061696s	YTD//////////w==	6130ffffffffffffffff	('ID', '97', 'Status', '48', 'Wakeup', nan, 'Dissolved Oxygen Concentration', nan)
2025-06-30T00:13:25.407083543Z	wwt-ormstrup-buoy	1	91839	-112		0.097536s	YFBBUS8bAAAAowAgQVEvG0G6ZGT/////P3ZPVf//////////	605041512f1b000000a3002041512f1b41ba6464ffffffff3f764f55ffffffffffffffff	('ID', '96', 'Status', '80', 'Dummy', 13.074000358581543, 'Turbidity', 23.29901885986328, 'Chlorophyll-a Concentration', nan, 'Chlorophyll-a Fluorescence Intensity', 0.9621480107307434, 'Blue Green AlgaePhycocyanin Concentration', nan, 'Blue Green AlgaePhycocyanin Fluorescence Intensity', nan)
2025-06-30T00:14:00.919662337Z	wwt-ormstrup-buoy	1	91840	-107		0.082176s	RHBBmmktQZtWnUGa/e1BmuJ9QZrQTUGaaP0=	4470419a692d419b569d419afded419ae27d419ad04d419a68fd	('ID', '68', 'Status', '112', 'T0', 19.301355361938477, 'T1', 19.41729164123535, 'T2', 19.373987197875977, 'T3', 19.3605899810791, 'T4', 19.351709365844727, 'T5', 19.3012638092041)
2025-06-30T00:14:35.780746421Z	wwt-ormstrup-buoy	1	91841	-113		0.087296s	X5D/////////////QVEvG0DmNNVCnIv5QVHnbQ==	5f90ffffffffffffffffffff41512f1b40e634d5429c8bf94151e76d	('ID', '95', 'Status', '144', 'Dummy', 13.074000358581543, 'Dissolved Oxygen Concentration', 7.193949222564697, 'Dissolved Oxygen % Saturation', 78.27338409423828, 'External Voltage', 13.119000434875488)
2025-06-30T00:15:05.615535137Z	wwt-ormstrup-buoy	1	91842	-111		0.061696s	YbD//////////w==	61b0ffffffffffffffff	('ID', '97', 'Status', '176', 'Wakeup', nan, 'Dissolved Oxygen Concentration', nan)
2025-06-30T00:28:26.982093902Z	wwt-ormstrup-buoy	1	91843	-118		0.097536s	YNBBUQo9AAAAowAgQVEKPUG27mb/////Puoyw///////////	60d041510a3d000000a3002041510a3d41b6ee66ffffffff3eea32c3ffffffffffffffff	('ID', '96', 'Status', '208', 'Dummy', 13.0649995803833, 'Turbidity', 22.866405487060547, 'Chlorophyll-a Concentration', nan, 'Chlorophyll-a Fluorescence Intensity', 0.4574185311794281, 'Blue Green AlgaePhycocyanin Concentration', nan, 'Blue Green AlgaePhycocyanin Fluorescence Intensity', nan)
2025-06-30T00:28:59.818140769Z	wwt-ormstrup-buoy	1	91844	-116		0.082176s	RPBBmjmdQZs5XUGa2m1BmrhdQZq3PUGaCc0=	44f0419a399d419b395d419ada6d419ab85d419ab73d419a09cd	('ID', '68', 'Status', '240', 'T0', 19.27813148498535, 'T1', 19.40300941467285, 'T2', 19.356653213500977, 'T3', 19.34002113342285, 'T4', 19.3394718170166, 'T5', 19.254785537719727)
2025-06-30T00:29:35.017299777Z	wwt-ormstrup-buoy	1	91845	-114		0.087296s	XxD/////////////QVEvG0DhWlxCmR1tQVFT+A==	5f10ffffffffffffffffffff41512f1b40e15a5c42991d6d415153f8	('ID', '95', 'Status', '16', 'Dummy', 13.074000358581543, 'Dissolved Oxygen Concentration', 7.042280197143555, 'Dissolved Oxygen % Saturation', 76.5574722290039, 'External Voltage', 13.083000183105469)
2025-06-30T00:30:11.238547641Z	wwt-ormstrup-buoy	1	91846	-119		0.061696s	YTD//////////w==	6130ffffffffffffffff	('ID', '97', 'Status', '48', 'Wakeup', nan, 'Dissolved Oxygen Concentration', nan)
2025-06-30T00:43:26.902433083Z	wwt-ormstrup-buoy	1	91847	-106		0.097536s	YFBBUHbJAAAAowAgQVEKPUGIES7/////PpNxmP//////////	6050415076c9000000a3002041510a3d4188112effffffff3e937198ffffffffffffffff	('ID', '96', 'Status', '80', 'Dummy', 13.0649995803833, 'Turbidity', 17.00838851928711, 'Chlorophyll-a Concentration', nan, 'Chlorophyll-a Fluorescence Intensity', 0.2879760265350342, 'Blue Green AlgaePhycocyanin Concentration', nan, 'Blue Green AlgaePhycocyanin Fluorescence Intensity', nan)
